NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82470,"Transport Canada Recall - 2026375 - HONDA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026375-honda,TC,"Motorcycle recalled by HONDA",Steering,,Motorcycle,,2026-08-06,0
82429,"JAMP Methotrexate 10 mg Tablets: Affected lots may contain oversized tablets.",https://recalls-rappels.canada.ca/en/alert-recall/jamp-methotrexate-10-mg-tablets-affected-lots-may-contain-oversized-tablets,"Drugs and health products","JAMP Methotrexate 10 mg Tablets ","Product quality","Verify whether your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or if you have any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-08-05,0
82437,"Flow brand Organic Flavoured Mineral Spring Water - Peach + Blueberry recalled due to mould",https://recalls-rappels.canada.ca/en/alert-recall/flow-brand-organic-flavoured-mineral-spring-water-peach-blueberry-recalled-due-mould,CFIA,"Organic Flavoured Mineral Spring Water - Peach + Blueberry ","Non harmful (quality or spoilage)",,Non-alcoholic,"Class 3",2026-08-05,0
82438,"​​RELLET Hyaluronic Acid Deep Hydrating Spray​ recalled due to missing mandatory hazard labelling​ ",https://recalls-rappels.canada.ca/en/alert-recall/rellet-hyaluronic-acid-deep-hydrating-spray-recalled-due-missing-mandatory-hazard,"Consumer product safety","RELLET Hyaluronic Acid Deep Hydrating Spray","Labelling and packaging","Consumers should immediately stop using the recalled product and contact Joyi Supply Chain Corp to receive a replacement&nbsp;with the required mandatory hazard labelling.For more information, consumers can contact Joyi Supply Chain Corp by email at&nbsp;joyisupplychain@gmail.com.Please note that, in addition to the requirements of the Cosmetic Regulations, the Food and Drugs Act prohibits the sale of cosmetics that are either made with hazardous substances, or under unsanitary conditions, to users in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Beauty and personal care",,2026-08-05,0
82440,"FilmArray® NGDS Warrior Panel",https://recalls-rappels.canada.ca/en/alert-recall/filmarrayr-ngds-warrior-panel,"Medical devices","FilmArray® NGDS Warrior Panel",Performance,,Microbiology,"Type II",2026-08-05,0
82441,"Med-RX Wound Care Kits",https://recalls-rappels.canada.ca/en/alert-recall/med-rx-wound-care-kits,"Medical devices","Med-RX Wound Care Kits",Sterility,,"General hospital and personal use","Type II",2026-08-05,0
82442,"1788 4K Camera ",https://recalls-rappels.canada.ca/en/alert-recall/1788-4k-camera,"Medical devices","1788 4K Camera ",Performance,,"General hospital and personal use - Gastroenterology and urology","Type II",2026-08-05,0
82455,"Transport Canada Recall - 2026273 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026273-general-motors,TC,"SUV recalled by GENERAL MOTORS",Other,,SUV,,2026-08-05,0
82456,"Transport Canada Recall - 2026365 - NEWMAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026365-newmar,TC,"Motorhome recalled by NEWMAR",Brakes,,Motorhome,,2026-08-05,0
82457,"Transport Canada Recall - 2026370 - GRAND DESIGN RV",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026370-grand-design-rv,TC,"RV Trailer recalled by GRAND DESIGN RV",Electrical,,"RV Trailer",,2026-08-05,0
82458,"Transport Canada Recall - 2026374 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026374-general-motors,TC,"Light Truck & Van recalled by GENERAL MOTORS",Wheels,,"Light Truck & Van",,2026-08-05,0
81963,"Transport Canada Recall - 2026180 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026180-international-motors,TC,"School Bus recalled by INTERNATIONAL MOTORS","High Voltage",,"School Bus",,2026-08-04,0
82421,"Ultra Big Blue Automatic Toilet Bowl Cleaner recalled due to improper labelling and lack of child-resistant packaging",https://recalls-rappels.canada.ca/en/alert-recall/ultra-big-blue-automatic-toilet-bowl-cleaner-recalled-due-improper-labelling-and-lack,"Consumer product safety","Ultra Big Blue Automatic Toilet Bowl Cleaner","Labelling and packaging","Consumers should immediately stop using the recall product and dispose of it according to municipal hazardous waste guidelines.&nbsp;For more information, consumers can contact Advantage Maintenance Products Ltd. by telephone at 1-800-265-9957 extension 226, 8:00AM - 4:30 PM ET, Monday to Friday or by email at info@advantagemaint.com.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2026-08-04,0
82427,"Needle Kit For Powered Driver",https://recalls-rappels.canada.ca/en/alert-recall/needle-kit-powered-driver,"Medical devices","Needle Kit For Powered Driver",Performance,,"General and plastic surgery","Type I",2026-08-04,0
82431,"Transport Canada Recall - 2026358 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026358-daimler-truck-north-america,TC,"Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA","Lights And Instruments",,"Truck - Med. & H.D.",,2026-08-04,0
82439,"Highline brand Organic Mini Bella Mushrooms Sliced recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/highline-brand-organic-mini-bella-mushrooms-sliced-recalled-due-listeria-monocytogenes,CFIA,"Organic Mini Bella Mushrooms Sliced ",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Fresh,"Class 1",2026-08-04,0
82448,"Transport Canada Recall - 2026363 - ARBOC SPECIALTY VEHICLES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026363-arboc-specialty-vehicles,TC,"Bus recalled by ARBOC SPECIALTY VEHICLES",Suspension,,Bus,,2026-08-04,0
82449,"Transport Canada Recall - 2026366 - JAYCO",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026366-jayco,TC,"Motorhome recalled by JAYCO",Brakes,,Motorhome,,2026-08-04,0
82450,"Transport Canada Recall - 2026367 - PACCAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026367-paccar,TC,"Truck - Med. & H.D. recalled by PACCAR",Electrical,,"Truck - Med. & H.D.",,2026-08-04,0
82451,"Transport Canada Recall - 2026371 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026371-fiat-chrysler-automobiles,TC,"Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES","Seats And Restraints",,"Light Truck & Van",,2026-08-04,0
82436,"Coaticook brand White Cheddar cheeses recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/coaticook-brand-white-cheddar-cheeses-recalled-due-listeria-monocytogenes,CFIA,"White Cheddar cheeses",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Dairy,"Class 1",2026-08-03,0
